"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"30",1.7109309150781e-111,2.53183536890645,1,0.992,6.78897387102989e-108,"4","NPY"
"31",1.99230194871103e-107,1.76350133217956,1,0.677,7.90545413248536e-104,"4","TRGC1"
"32",8.30105775003158e-102,1.41718578077985,0.993,0.633,3.29385971521253e-98,"4","FOLH1"
"33",2.03080403655837e-91,1.51709731847094,0.796,0.256,8.05823041706361e-88,"4","C15orf48"
"34",2.57673685410297e-199,1.77380415029412,0.889,0.116,1.02244918370806e-195,"5","ACSM3"
"35",1.07673529015362e-195,1.57248636662337,0.865,0.106,4.27248563132958e-192,"5","AL589182.1"
"36",1.72180821898844e-156,1.40419861051024,0.889,0.15,6.83213501294612e-153,"5","AP000527.1"
"37",4.62233984663532e-137,2.12734724018907,0.984,0.403,1.8341444511449e-133,"5","TMEFF2"
"38",1.9151328506606e-109,1.67060800718355,0.98,0.484,7.59924715142127e-106,"5","PLPP5"
"39",1.04461565622948e-106,1.66095466680616,0.988,0.601,4.14503492391858e-103,"5","SMS"
"40",5.45217654610578e-103,1.41103153487541,0.988,0.643,2.16342365349477e-99,"5","PRAC1"
"41",8.37809728698236e-96,0.984360446009251,0.799,0.191,3.3244290034746e-92,"5","GLYATL1"
"42",6.78549088951314e-95,2.45987779932776,0.991,0.85,2.69248278495881e-91,"6","TAGLN"
"43",7.27127146007168e-90,2.13454628313234,0.991,0.899,2.88524051535644e-86,"6","MYL9"
"44",4.75638528151538e-89,2.23234223877506,0.986,0.927,1.8873336797053e-85,"6","MGP"
"45",5.74020696134033e-87,2.44142381236845,0.963,0.747,2.27771412225984e-83,"6","ACTA2"
"46",9.12750984760719e-74,2.28393824240048,0.888,0.548,3.62179590753053e-70,"6","SPARCL1"
"47",1.94189209192977e-73,2.25122506736769,0.93,0.715,7.70542782077731e-70,"6","TPM2"
"48",8.79421926094888e-71,2.37433385635448,0.856,0.5,3.48954620274451e-67,"6","MYLK"
"49",3.54038028059164e-66,1.53957773083138,0.986,0.933,1.40482289533876e-62,"6","TMSB4X"
"50",7.04299915921956e-64,2.39545957368422,0.874,0.612,2.79466206637832e-60,"6","MYH11"
"51",1.25930939127671e-59,2.10354328226102,0.884,0.78,4.996939664586e-56,"6","CALD1"
"52",1.31730032895439e-59,1.54341757185655,0.926,0.716,5.227047705291e-56,"6","LGALS1"
"53",2.9198714044645e-58,1.08795254846728,0.991,0.985,1.15860497329151e-54,"6","MT-ND2"
"54",5.5167299718477e-57,0.857684117134953,1,0.998,2.18903845282917e-53,"6","MT-ND4"
"55",1.14545410312949e-31,2.13950546123311,0.963,0.164,4.5451618812178e-28,"7","TGM2"
"56",1.89612318914585e-28,3.49658024239604,0.963,0.245,7.52381681453072e-25,"7","SCUBE2"
"57",3.09985354988532e-27,3.31288155211376,1,0.281,1.2300218885945e-23,"7","PDZK1IP1"
"58",3.02810027230954e-21,2.85431491067552,1,0.357,1.20155018805243e-17,"7","SOD2"
"59",2.37739707523651e-18,2.61076520163835,1,0.576,9.43351159453846e-15,"7","HLA-DRA"
"60",6.36144395636466e-18,2.30018722210416,0.963,0.443,2.5242209618855e-14,"7","HLA-DRB1"
